index,Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,source
,HepG2,NRU,ZnO,24,8,98.13432836,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,6,14,97.94776119,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,12,14,81.15671642,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,24,14,50.18656716,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,6,20,89.36567164,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,12,20,77.42537313,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,24,20,28.54477612,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,CCK-8,ZnO,24,128,8.811188811,295,21,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,CCK-8,ZnO,24,128,6.06993007,295,21,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,NRU,ZnO,24,128,23.83378016,295,21,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,24,128,8.257372654,295,21,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,CCK-8,ZnO,24,0,98.29370629,340,-35,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,CCK-8,ZnO,24,8,95.55244755,340,-35,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,CCK-8,ZnO,24,32,18.7972028,340,-35,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,CCK-8,ZnO,24,0,96.33566434,340,-35,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,CCK-8,ZnO,24,8,94.37762238,340,-35,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,CCK-8,ZnO,24,32,6.853146853,340,-35,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,NRU,ZnO,24,0,102.0911528,340,-35,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,NRU,ZnO,24,8,109.4101877,340,-35,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,NRU,ZnO,24,32,46.54155496,340,-35,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,24,0,103.0294906,340,-35,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,24,8,100.4021448,340,-35,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,24,32,11.07238606,340,-35,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,Live/Dead,ZnO,24,0,99.82636148,364,16.3,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,Live/Dead,ZnO,24,5,99.16337806,364,16.3,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,Live/Dead,ZnO,24,10,90.07103394,364,16.3,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,Live/Dead,ZnO,24,20,93.38595107,364,16.3,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,Live/Dead,ZnO,24,50,19.70007893,364,16.3,2.272727273,2.545,-0.7618,1.35,additional
